Weapon (Click for note),Right - 1H Light #1,Right - 1H Light #2,Right - 1H Heavy #1,Right - 1H Heavy #2,Right - 1H Light Running,Right - 1H Light Rolling,Right - 1H Light Backstep,Right - 1H Falling,Right - 1H Landing,Right - 1H Jumping,2H Light #1,2H Light #2,2H Heavy #1,2H Heavy #2,Right - 2H Light Running,Right - 2H Light Rolling,Right - 2H Light Backstep,Right - 2H Falling,Right - 2H Landing,Right - 2H Jumping,Chain 1 #1,Chain 1 #2,Chain 2 #1,Chain 2 #2,Chain Running,Chain Rolling,Chain Backstep,Chain Falling,Chain Landing,Chain Jumping,Right - Powerstance - Light #1,Right - Powerstance - Light #2,Right - Powerstance - Heavy #1,Right - Powerstance - Heavy #2,Right - Powerstance - Light Running,Right - Powerstance - Light Rolling,Right - Powerstance - Light Backstep,Right - Powerstance - Falling,Right - Powerstance - Landing,Right - Powerstance - Jumping,Left - 1H Light #1,Left - 1H Light #2,Left - 1H Heavy #1,Left - 1H Heavy #2,Left - 1H Light Running,Left - 1H Light Rolling,Left - 1H Light Backstep,Left - 1H Falling,Left - 1H Landing,Left - 1H Jumping,Left - 2H Light,Left - 2H Heavy,Left - Powerstance - Light #1,Left - Powerstance - Light #2,Left - Powerstance - Heavy,Guard Break #1,Guard Break #2,Shield Poke 1 #1,Shield Poke 1 #2,Shield Poke 2 #1,Shield Poke 2 #2,Riposte,Guard Break Stab,Backstab
Azal's Staff,40.76,45.05,45.08,46.69,24.15,24.15,24.15,53.13,53.13,53.13,50.92,56.28,56.35,58.35,30.17,30.17,30.17,66.40,66.40,66.40,42.83,47.33,63.11,65.37,33.81,33.81,33.81,74.38,74.38,74.38,30.59,33.81,45.08,46.69,24.15,24.15,24.15,53.13,53.13,53.13,44.02,48.65,48.69,50.43,26.08,26.08,26.08,57.38,57.38,57.38,41.28,45.63,33.04,36.51,48.69,24.47,24.47,39.77,43.95,58.60,60.70,32.20,32.20,32.20
Bandit Axe,24.80,27.41,36.54,37.85,19.58,19.58,19.58,43.07,43.07,43.07,30.98,34.24,45.68,47.29,24.46,24.46,24.46,53.82,53.82,53.82,34.71,38.37,51.16,52.98,27.41,27.41,27.41,60.29,60.29,60.29,24.80,27.41,36.54,37.85,19.58,19.58,19.58,43.07,43.07,43.07,26.78,29.60,39.46,40.87,21.14,21.14,21.14,46.51,46.51,46.51,33.46,36.98,26.78,29.60,39.46,19.84,19.84,32.23,35.63,47.50,49.20,26.10,26.10,26.10
Bandit Greataxe,27.55,30.45,40.60,42.05,21.75,21.75,21.75,47.85,47.85,47.85,34.42,38.05,50.75,52.55,27.17,27.17,27.17,59.80,59.80,59.80,38.57,42.63,56.84,58.87,30.45,30.45,30.45,66.99,66.99,66.99,27.55,30.45,40.60,42.05,21.75,21.75,21.75,47.85,47.85,47.85,29.75,32.89,43.85,45.41,23.49,23.49,23.49,51.68,51.68,51.68,37.18,41.09,29.75,32.89,43.85,22.04,22.04,35.82,39.59,52.78,54.67,29.00,29.00,29.00
Bandit's Knife,14.44,15.96,21.28,22.04,11.40,11.40,11.40,25.08,25.08,25.08,18.04,19.94,26.60,27.54,14.24,14.24,14.24,31.34,31.34,31.34,20.22,22.34,29.79,30.86,15.96,15.96,15.96,35.11,35.11,35.11,14.44,15.96,21.28,22.04,11.40,11.40,11.40,25.08,25.08,25.08,15.60,17.24,22.98,23.80,12.31,12.31,12.31,27.09,27.09,27.09,19.49,21.54,15.60,17.24,22.98,11.55,11.55,18.77,20.75,27.66,28.65,15.20,15.20,15.20
Barbed Club,23.66,26.15,34.86,36.11,18.68,18.68,18.68,41.09,41.09,41.09,29.56,32.67,43.58,45.12,23.33,23.33,23.33,51.34,51.34,51.34,33.12,36.60,48.80,50.55,26.15,26.15,26.15,57.52,57.52,57.52,23.66,26.15,34.86,36.11,18.68,18.68,18.68,41.09,41.09,41.09,25.55,28.24,37.65,38.99,20.17,20.17,20.17,44.37,44.37,44.37,31.92,35.28,25.55,28.24,37.65,18.92,18.92,30.75,33.99,45.32,46.94,24.90,24.90,24.90
Bastard Sword,26.70,29.51,39.34,40.75,21.08,21.08,21.08,46.37,46.37,46.37,33.35,36.87,49.18,50.92,26.33,26.33,26.33,57.94,57.94,57.94,37.37,41.31,55.08,57.04,29.51,29.51,29.51,64.91,64.91,64.91,26.70,29.51,39.34,40.75,21.08,21.08,21.08,46.37,46.37,46.37,28.83,31.87,42.49,44.00,22.76,22.76,22.76,50.07,50.07,50.07,36.02,39.82,28.83,31.87,42.49,21.36,21.36,34.70,38.36,51.14,52.97,28.10,28.10,28.10
Bat Staff,25.84,28.56,28.56,29.58,15.30,15.30,15.30,33.66,33.66,33.66,32.29,35.69,35.70,36.96,19.11,19.11,19.11,42.06,42.06,42.06,27.13,29.99,39.98,41.41,21.42,21.42,21.42,47.12,47.12,47.12,19.38,21.42,28.56,29.58,15.30,15.30,15.30,33.66,33.66,33.66,27.91,30.84,30.84,31.95,16.52,16.52,16.52,36.35,36.35,36.35,26.15,28.91,20.93,23.13,30.84,15.50,15.50,25.19,27.85,37.13,38.45,20.40,20.40,20.40
Battle Axe,22.90,25.31,33.74,34.95,18.08,18.08,18.08,39.77,39.77,39.77,28.61,31.62,42.18,43.67,22.58,22.58,22.58,49.69,49.69,49.69,32.05,35.43,47.24,48.92,25.31,25.31,25.31,55.67,55.67,55.67,22.90,25.31,33.74,34.95,18.08,18.08,18.08,39.77,39.77,39.77,24.73,27.33,36.44,37.74,19.52,19.52,19.52,42.95,42.95,42.95,30.90,34.15,24.73,27.33,36.44,18.32,18.32,29.76,32.90,43.86,45.43,24.10,24.10,24.10
Bell Keeper Bow,33.44,36.96,49.28,51.04,13.58,13.58,13.58,29.87,29.87,29.87,41.78,46.18,61.60,63.78,16.96,16.96,16.96,37.32,37.32,37.32,24.07,26.61,35.48,36.74,19.01,19.01,19.01,41.81,41.81,41.81,17.20,19.01,25.34,26.25,13.58,13.58,13.58,29.87,29.87,29.87,36.12,39.92,53.22,55.12,14.66,14.66,14.66,32.25,32.25,32.25,23.20,25.65,18.57,20.53,27.37,13.76,13.76,22.35,24.71,32.94,34.12,18.10,18.10,18.10
Bell Keeper Shield,19.57,21.63,28.84,29.87,15.45,15.45,15.45,33.99,33.99,33.99,24.45,27.03,36.05,37.33,19.30,19.30,19.30,42.48,42.48,42.48,27.40,30.28,40.38,41.82,21.63,21.63,21.63,47.59,47.59,47.59,19.57,21.63,28.84,29.87,15.45,15.45,15.45,33.99,33.99,33.99,21.14,23.36,31.15,32.26,16.69,16.69,16.69,36.71,36.71,36.71,26.41,29.19,21.14,23.36,31.15,15.66,15.66,25.44,28.12,37.49,38.83,20.60,20.60,20.60
Benhart's Parma,15.58,17.22,22.96,23.78,12.30,12.30,12.30,27.06,27.06,27.06,19.47,21.52,28.70,29.72,15.37,15.37,15.37,33.82,33.82,33.82,21.81,24.11,32.14,33.29,17.22,17.22,17.22,37.88,37.88,37.88,15.58,17.22,22.96,23.78,12.30,12.30,12.30,27.06,27.06,27.06,16.83,18.60,24.80,25.68,13.28,13.28,13.28,29.22,29.22,29.22,21.02,23.24,16.83,18.60,24.80,12.46,12.46,20.25,22.39,29.85,30.91,16.40,16.40,16.40
Berserker Blade,23.75,26.25,35.00,36.25,18.75,18.75,18.75,41.25,41.25,41.25,29.68,32.80,43.75,45.30,23.43,23.43,23.43,51.55,51.55,51.55,33.25,36.75,49.00,50.75,26.25,26.25,26.25,57.75,57.75,57.75,23.75,26.25,35.00,36.25,18.75,18.75,18.75,41.25,41.25,41.25,25.65,28.35,37.80,39.15,20.25,20.25,20.25,44.55,44.55,44.55,32.05,35.43,25.65,28.35,37.80,19.00,19.00,30.88,34.13,45.50,47.13,25.00,25.00,25.00
Bewitched Alonne Sword,28.31,31.29,41.72,43.21,22.35,22.35,22.35,49.17,49.17,49.17,35.37,39.10,52.15,54.00,27.92,27.92,27.92,61.45,61.45,61.45,39.63,43.81,58.41,60.49,31.29,31.29,31.29,68.84,68.84,68.84,28.31,31.29,41.72,43.21,22.35,22.35,22.35,49.17,49.17,49.17,30.57,33.79,45.06,46.67,24.14,24.14,24.14,53.10,53.10,53.10,38.20,42.23,30.57,33.79,45.06,22.65,22.65,36.80,40.68,54.24,56.17,29.80,29.80,29.80
Black Dragon Greataxe,32.78,36.23,48.30,50.03,25.88,25.88,25.88,56.93,56.93,56.93,40.95,45.26,60.38,62.51,32.33,32.33,32.33,71.14,71.14,71.14,45.89,50.72,67.62,70.04,36.23,36.23,36.23,79.70,79.70,79.70,32.78,36.23,48.30,50.03,25.88,25.88,25.88,56.93,56.93,56.93,35.40,39.12,52.16,54.03,27.95,27.95,27.95,61.48,61.48,61.48,44.23,48.89,35.40,39.12,52.16,26.22,26.22,42.61,47.09,62.79,65.03,34.50,34.50,34.50
Black Dragon Greatsword,32.30,35.70,47.60,49.30,25.50,25.50,25.50,56.10,56.10,56.10,40.36,44.61,59.50,61.61,31.86,31.86,31.86,70.11,70.11,70.11,45.22,49.98,66.64,69.02,35.70,35.70,35.70,78.54,78.54,78.54,32.30,35.70,47.60,49.30,25.50,25.50,25.50,56.10,56.10,56.10,34.88,38.56,51.41,53.24,27.54,27.54,27.54,60.59,60.59,60.59,43.59,48.18,34.88,38.56,51.41,25.84,25.84,41.99,46.41,61.88,64.09,34.00,34.00,34.00
Black Dragon Shield,24.23,26.78,35.70,36.98,19.13,19.13,19.13,42.08,42.08,42.08,30.27,33.46,44.63,46.21,23.89,23.89,23.89,52.58,52.58,52.58,33.92,37.49,49.98,51.77,26.78,26.78,26.78,58.91,58.91,58.91,24.23,26.78,35.70,36.98,19.13,19.13,19.13,42.08,42.08,42.08,26.16,28.92,38.56,39.93,20.66,20.66,20.66,45.44,45.44,45.44,32.69,36.13,26.16,28.92,38.56,19.38,19.38,31.49,34.81,46.41,48.07,25.50,25.50,25.50
Black Dragon Sword,22.04,24.36,32.48,33.64,17.40,17.40,17.40,38.28,38.28,38.28,27.54,30.44,40.60,42.04,21.74,21.74,21.74,47.84,47.84,47.84,30.86,34.10,45.47,47.10,24.36,24.36,24.36,53.59,53.59,53.59,22.04,24.36,32.48,33.64,17.40,17.40,17.40,38.28,38.28,38.28,23.80,26.31,35.08,36.33,18.79,18.79,18.79,41.34,41.34,41.34,29.74,32.87,23.80,26.31,35.08,17.63,17.63,28.65,31.67,42.22,43.73,23.20,23.20,23.20
Black Dragon Warpick,23.66,26.15,34.86,36.11,18.68,18.68,18.68,41.09,41.09,41.09,29.56,32.67,43.58,45.12,23.33,23.33,23.33,51.34,51.34,51.34,33.12,36.60,48.80,50.55,26.15,26.15,26.15,57.52,57.52,57.52,23.66,26.15,34.86,36.11,18.68,18.68,18.68,41.09,41.09,41.09,25.55,28.24,37.65,38.99,20.17,20.17,20.17,44.37,44.37,44.37,31.92,35.28,25.55,28.24,37.65,18.92,18.92,30.75,33.99,45.32,46.94,24.90,24.90,24.90
Black Flamestone Dagger,19.95,22.05,29.40,30.45,15.75,15.75,15.75,34.65,34.65,34.65,24.93,27.55,36.75,38.05,19.68,19.68,19.68,43.30,43.30,43.30,27.93,30.87,41.16,42.63,22.05,22.05,22.05,48.51,48.51,48.51,19.95,22.05,29.40,30.45,15.75,15.75,15.75,34.65,34.65,34.65,21.55,23.81,31.75,32.89,17.01,17.01,17.01,37.42,37.42,37.42,26.92,29.76,21.55,23.81,31.75,15.96,15.96,25.94,28.67,38.22,39.59,21.00,21.00,21.00
Black Flamestone Parma,23.18,25.62,34.16,35.38,18.30,18.30,18.30,40.26,40.26,40.26,28.96,32.01,42.70,44.21,22.86,22.86,22.86,50.31,50.31,50.31,32.45,35.87,47.82,49.53,25.62,25.62,25.62,56.36,56.36,56.36,23.18,25.62,34.16,35.38,18.30,18.30,18.30,40.26,40.26,40.26,25.03,27.67,36.89,38.21,19.76,19.76,19.76,43.48,43.48,43.48,31.28,34.57,25.03,27.67,36.89,18.54,18.54,30.13,33.31,44.41,45.99,24.40,24.40,24.40
Black Knight Greataxe,34.49,38.12,50.82,52.64,27.23,27.23,27.23,59.90,59.90,59.90,43.09,47.63,63.53,65.78,34.01,34.01,34.01,74.85,74.85,74.85,48.28,53.36,71.15,73.69,38.12,38.12,38.12,83.85,83.85,83.85,34.49,38.12,50.82,52.64,27.23,27.23,27.23,59.90,59.90,59.90,37.24,41.16,54.89,56.85,29.40,29.40,29.40,64.69,64.69,64.69,46.54,51.44,37.24,41.16,54.89,27.59,27.59,44.83,49.55,66.07,68.43,36.30,36.30,36.30
Black Knight Greatsword,32.49,35.91,47.88,49.59,25.65,25.65,25.65,56.43,56.43,56.43,40.60,44.87,59.85,61.97,32.05,32.05,32.05,70.52,70.52,70.52,45.49,50.27,67.03,69.43,35.91,35.91,35.91,79.00,79.00,79.00,32.49,35.91,47.88,49.59,25.65,25.65,25.65,56.43,56.43,56.43,35.09,38.78,51.71,53.56,27.70,27.70,27.70,60.94,60.94,60.94,43.84,48.46,35.09,38.78,51.71,25.99,25.99,42.24,46.68,62.24,64.47,34.20,34.20,34.20
Black Knight Halberd,30.50,33.71,44.94,46.55,24.08,24.08,24.08,52.97,52.97,52.97,38.10,42.12,56.18,58.17,30.08,30.08,30.08,66.19,66.19,66.19,42.69,47.19,62.92,65.16,33.71,33.71,33.71,74.15,74.15,74.15,30.50,33.71,44.94,46.55,24.08,24.08,24.08,52.97,52.97,52.97,32.93,36.40,48.54,50.27,26.00,26.00,26.00,57.20,57.20,57.20,41.15,45.49,32.93,36.40,48.54,24.40,24.40,39.64,43.82,58.42,60.51,32.10,32.10,32.10
Black Knight Ultra Greatsword,33.06,36.54,48.72,50.46,26.10,26.10,26.10,57.42,57.42,57.42,41.31,45.66,60.90,63.06,32.61,32.61,32.61,71.76,71.76,71.76,46.28,51.16,68.21,70.64,36.54,36.54,36.54,80.39,80.39,80.39,33.06,36.54,48.72,50.46,26.10,26.10,26.10,57.42,57.42,57.42,35.70,39.46,52.62,54.50,28.19,28.19,28.19,62.01,62.01,62.01,44.61,49.31,35.70,39.46,52.62,26.45,26.45,42.98,47.50,63.34,65.60,34.80,34.80,34.80
Black Scorpion Stinger,17.67,19.53,26.04,26.97,13.95,13.95,13.95,30.69,30.69,30.69,22.08,24.40,32.55,33.70,17.43,17.43,17.43,38.35,38.35,38.35,24.74,27.34,36.46,37.76,19.53,19.53,19.53,42.97,42.97,42.97,17.67,19.53,26.04,26.97,13.95,13.95,13.95,30.69,30.69,30.69,19.08,21.09,28.12,29.13,15.07,15.07,15.07,33.15,33.15,33.15,23.85,26.36,19.08,21.09,28.12,14.14,14.14,22.97,25.39,33.85,35.06,18.60,18.60,18.60
Black Witch's Staff,26.32,29.09,28.98,30.02,15.53,15.53,15.53,34.16,34.16,34.16,32.88,36.34,36.23,37.51,19.40,19.40,19.40,42.68,42.68,42.68,27.53,30.43,40.57,42.02,21.74,21.74,21.74,47.82,47.82,47.82,19.67,21.74,28.98,30.02,15.53,15.53,15.53,34.16,34.16,34.16,28.42,31.41,31.30,32.42,16.77,16.77,16.77,36.89,36.89,36.89,26.54,29.33,21.24,23.47,31.30,15.73,15.73,25.56,28.26,37.67,39.02,20.70,20.70,20.70
Blacksmith's Hammer,21.66,23.94,31.92,33.06,17.10,17.10,17.10,37.62,37.62,37.62,27.06,29.91,39.90,41.31,21.36,21.36,21.36,47.01,47.01,47.01,30.32,33.52,44.69,46.28,23.94,23.94,23.94,52.67,52.67,52.67,21.66,23.94,31.92,33.06,17.10,17.10,17.10,37.62,37.62,37.62,23.39,25.86,34.47,35.70,18.47,18.47,18.47,40.63,40.63,40.63,29.23,32.31,23.39,25.86,34.47,17.33,17.33,28.16,31.12,41.50,42.98,22.80,22.80,22.80
Blacksteel Katana,24.61,27.20,36.26,37.56,19.43,19.43,19.43,42.74,42.74,42.74,30.74,33.98,45.33,46.93,24.27,24.27,24.27,53.41,53.41,53.41,34.45,38.07,50.76,52.58,27.20,27.20,27.20,59.83,59.83,59.83,24.61,27.20,36.26,37.56,19.43,19.43,19.43,42.74,42.74,42.74,26.57,29.37,39.16,40.56,20.98,20.98,20.98,46.15,46.15,46.15,33.20,36.70,26.57,29.37,39.16,19.68,19.68,31.99,35.35,47.14,48.82,25.90,25.90,25.90
Bloodied Whip,23.66,26.15,34.86,36.11,18.68,18.68,18.68,41.09,41.09,41.09,29.56,32.67,43.58,45.12,23.33,23.33,23.33,51.34,51.34,51.34,33.12,36.60,48.80,50.55,26.15,26.15,26.15,57.52,57.52,57.52,23.66,26.15,34.86,36.11,18.68,18.68,18.68,41.09,41.09,41.09,25.55,28.24,37.65,38.99,20.17,20.17,20.17,44.37,44.37,44.37,31.92,35.28,25.55,28.24,37.65,18.92,18.92,30.75,33.99,45.32,46.94,24.90,24.90,24.90
Blossom Kite Shield,21.28,23.52,31.36,32.48,16.80,16.80,16.80,36.96,36.96,36.96,26.59,29.39,39.20,40.59,20.99,20.99,20.99,46.19,46.19,46.19,29.79,32.93,43.90,45.47,23.52,23.52,23.52,51.74,51.74,51.74,21.28,23.52,31.36,32.48,16.80,16.80,16.80,36.96,36.96,36.96,22.98,25.40,33.87,35.08,18.14,18.14,18.14,39.92,39.92,39.92,28.72,31.74,22.98,25.40,33.87,17.02,17.02,27.66,30.58,40.77,42.22,22.40,22.40,22.40
Blue Dagger,14.35,15.86,21.14,21.90,11.33,11.33,11.33,24.92,24.92,24.92,17.92,19.81,26.43,27.36,14.15,14.15,14.15,31.14,31.14,31.14,20.08,22.20,29.60,30.65,15.86,15.86,15.86,34.88,34.88,34.88,14.35,15.86,21.14,21.90,11.33,11.33,11.33,24.92,24.92,24.92,15.49,17.12,22.83,23.65,12.23,12.23,12.23,26.91,26.91,26.91,19.36,21.40,15.49,17.12,22.83,11.48,11.48,18.65,20.61,27.48,28.46,15.10,15.10,15.10
Blue Flame,18.72,20.69,27.58,28.57,14.78,14.78,14.78,32.51,32.51,32.51,23.38,25.85,34.48,35.70,18.46,18.46,18.46,40.62,40.62,40.62,26.20,28.96,38.61,39.99,20.69,20.69,20.69,45.51,45.51,45.51,18.72,20.69,27.58,28.57,14.78,14.78,14.78,32.51,32.51,32.51,20.21,22.34,29.79,30.85,15.96,15.96,15.96,35.11,35.11,35.11,25.26,27.91,20.21,22.34,29.79,14.97,14.97,24.33,26.89,35.85,37.13,19.70,19.70,19.70
Blue Knight's Halberd,29.93,33.08,44.10,45.68,23.63,23.63,23.63,51.98,51.98,51.98,37.39,41.33,55.13,57.08,29.52,29.52,29.52,64.95,64.95,64.95,41.90,46.31,61.74,63.95,33.08,33.08,33.08,72.77,72.77,72.77,29.93,33.08,44.10,45.68,23.63,23.63,23.63,51.98,51.98,51.98,32.32,35.72,47.63,49.33,25.52,25.52,25.52,56.13,56.13,56.13,40.38,44.64,32.32,35.72,47.63,23.94,23.94,38.90,43.00,57.33,59.38,31.50,31.50,31.50
Blue Wooden Shield,19.10,21.11,28.14,29.15,15.08,15.08,15.08,33.17,33.17,33.17,23.86,26.37,35.18,36.42,18.83,18.83,18.83,41.45,41.45,41.45,26.73,29.55,39.40,40.80,21.11,21.11,21.11,46.43,46.43,46.43,19.10,21.11,28.14,29.15,15.08,15.08,15.08,33.17,33.17,33.17,20.62,22.79,30.39,31.48,16.28,16.28,16.28,35.82,35.82,35.82,25.77,28.48,20.62,22.79,30.39,15.28,15.28,24.82,27.44,36.58,37.89,20.10,20.10,20.10
Bluemoon Greatsword,33.06,36.54,48.72,50.46,26.10,26.10,26.10,57.42,57.42,57.42,41.31,45.66,60.90,63.06,32.61,32.61,32.61,71.76,71.76,71.76,46.28,51.16,68.21,70.64,36.54,36.54,36.54,80.39,80.39,80.39,33.06,36.54,48.72,50.46,26.10,26.10,26.10,57.42,57.42,57.42,35.70,39.46,52.62,54.50,28.19,28.19,28.19,62.01,62.01,62.01,44.61,49.31,35.70,39.46,52.62,26.45,26.45,42.98,47.50,63.34,65.60,34.80,34.80,34.80
Bone Fist,13.11,9.66,17.56,20.01,10.35,10.35,10.35,22.77,22.77,22.77,21.23,8.69,53.34,40.51,13.97,34.91,13.97,30.73,30.73,30.73,18.35,13.52,24.58,28.01,14.49,14.49,14.49,31.88,31.88,31.88,13.11,9.66,17.55,20.01,10.35,10.35,10.35,22.77,22.77,22.77,14.16,10.43,18.96,21.61,11.18,11.18,11.18,24.59,24.59,24.59,19.11,14.08,14.16,13.56,66.36,10.49,10.49,17.04,12.56,22.83,26.01,13.80,13.80,13.80
Bone Scythe,27.84,30.77,41.02,42.49,21.98,21.98,21.98,48.35,48.35,48.35,34.78,38.44,51.28,53.09,27.45,27.45,27.45,60.42,60.42,60.42,38.97,43.07,57.43,59.48,30.77,30.77,30.77,67.68,67.68,67.68,27.84,30.77,41.02,42.49,21.98,21.98,21.98,48.35,48.35,48.35,30.06,33.23,44.30,45.88,23.73,23.73,23.73,52.21,52.21,52.21,37.56,41.52,30.06,33.23,44.30,22.27,22.27,36.19,39.99,53.33,55.23,29.30,29.30,29.30
